Study Name,PI Name,HEAL Research Program,Core CDE Measures,Domain,Questionnaire
Identifying multimodal biomarkers for autologous serum tears in the treatment of chronic postoperative ocular pain,Rony Sayegh,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
The Penn Human Precision Pain Center (HPPC): Discovery and Functional Evaluation of Human Primary Somatosensory Neuron Types at Normal and Chronic Pain Conditions,WENQIN LUO,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
Advancing Rural Back Pain Outcomes with Rehabilitation Telehealth (ARBOR-Telehealth),Richard Skolasky,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
Predictive biosignature for endoscopic therapy for chronic pancreatitis pain,Lisa  Doan,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
Developing Radiocaine NaV imaging as a response monitoring biomarker for chronic pain,Braxton Norwood,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
Mechanisms of Action of Peripheral Nerve Stimulation for the Treatment of Chronic Neuropathic Pain,Jennifer Hah,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
Peer suppoRt for adolescents and Emerging adults with Sickle cell pain: promoting ENgagement in Cognitive behavioral thErapy (PRESENCE),Charles Jonassaint,ERN- Pain Management Effectiveness Research Network,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
Reaching Rural Veterans: Applying Mind-Body Skills for Pain Using a Whole Health Telehealth Intervention (RAMP),Diana Burgess,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
STREAM,Bridget Mueller,K12 - National K12 Clinical Pain Career Development,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
IMPACT: Integrative Mindfulness-Based Predictive Approach for Chronic low back pain Treatment,Jean King,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
Adapting and Implementing a Nurse Care Management Model to Care for Rural Patients with Chronic Pain,Sebastian Tong,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
Sensory Phenotyping to Enhance Neuropathic Pain Drug Development,Roy Freeman,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PEG Pain Screening Tool,"Pain Interference, Pain Intensity",PEG
UM MRC BACPAC,Afton Hassett,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 4,Physical Functioning,PROMIS
Pain Response Evaluation of a Combined Intervention to Cope Effectively (PRECICE),Dennis Chua  Ang,ERN- Pain Management Effectiveness Research Network,PROMIS Physical Functioning Short Form 4,Physical Functioning,PROMIS
Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Daniel Rotroff,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Georgene Hergenroeder,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Pedram Hamrah,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Catherine Chong,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Partners for Pain & Wellbeing Equity: A Randomized Trial of Community Supported Complementary and Integrative Health Self Management for Back Pain,Roni Evans,Health Equity in Pain Management,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Human Nociceptor and Spinal Cord Molecular Signature Center,Ted  Price,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
EPPIC-Net: Platform Protocol to Assess Treatments for Painful Diabetic Peripheral Neuropathy,Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
EPPIC-Net: Novaremed Painful Diabetic Peripheral Neuropathy ISA (EN21-01),Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
A Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects With Knee Osteoarthritis Pain.,Maurizio Fava,EPPIC Net- Early Phase Pain Investigation Clinical Network,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Group-based Integrative Pain Management: A multi-level approach to address intersectional stigma and social isolation in diverse primary care safety net patients with chronic pain,Maria Chao,Health Equity in Pain Management,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Quantifying and Treating Myofascial Dysfunction in Post Stroke Shoulder Pain,Preeti  Raghavan,MPS- Myofascial Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
MRI-based quantitative characterization of impaired myofascial interface properties in myofascial pain syndrome,Ziying Yin,MPS- Myofascial Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Innervation of the knee and TMJ,Kyle Allen,RE JOIN- Restoring Joint Health and Function to Reduce Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Multimodal imaging biomarkers for investigating fascia muscle and vasculature in myofascial pain,Siddhartha Sikdar,MPS- Myofascial Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
From Nerve to Brain: Toward a Mechanistic Understanding of Spinal Cord Stimulation in Human Subjects,Brian Wainger,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
HEALing LB3P: Profiling Biomechanical Biological and Behavioral Phenotypes,Gwendolyn Sowa,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Healing Opioid Misuse and Pain Through Engagement (HOPE) Trial,Katie Witkiewitz,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Novel Imaging of Endplate Biomarkers in Chronic Low Back Pain,Aaron Fields,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
INTERCEPT: Integrated Research Center for human Pain Tissues,Robert Gereau,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Nonpharmacologic Pain Management for Lumbar Surgery,Julie Fritz,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
The Spine Phenome Project: Enabling Technology for Personalized Medicine,William Marras,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Equity Using Interventions for Pain and Depression (EQUIPD),Marianne Matthias,Health Equity in Pain Management,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
A Randomized Clinical Trial to Evaluate Non-Pharmacologic and Pharmacologic Approaches for Reducing Pain and Opioid Use Among Patients Treated with Maintenance Hemodialysis,Laura Bernardo,HOPE,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Tailored Retention and Engagement for Equitable Treatment of OUD and Pain (TREETOP),Jessica Merlin,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Implementation and Effectiveness of Mindfulness Oriented Recovery Enhancement as an Adjunct to Methadone Treatment for Opioid Use Disorder,Nina Cooperman,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Integrating Nonpharmacologic Strategies for Pain with Inclusion Respect and Equity (INSPIRE): Tailored digital tools telehealth coaching and primary care coordination,Jason Satterfield,Health Equity in Pain Management,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,Seward Rutkove,MPS- Myofascial Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Optimizing the use of ketamine to reduce chronic postsurgical pain,Jing Wang,ERN- Pain Management Effectiveness Research Network,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Claudia Campbell,ERN- Pain Management Effectiveness Research Network,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Wake Forest NCORP Research Base,Glenn Lesser,ERN- Pain Management Effectiveness Research Network,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Integrated Treatment for Veterans with Co-Occurring Chronic Pain and Opioid Use Disorder,Katie Witkiewitz,ERN- Pain Management Effectiveness Research Network,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Harvard PRECISION Human Pain Center,William Renthal,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Addressing the chronic pain epidemic among older adults in underserved community center; The GetActive+ study,Ana-Maria Vranceanu,Health Equity in Pain Management,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Cancer Pain Management: A Technology-Based Intervention for Asian American Breast Cancer Survivors,Eun-Ok Im,Health Equity in Pain Management,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Development Evaluation and Translation of Robotic Apparel for Alleviating Low Back Pain,Conor Walsh,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Total-body PET for assessing myofascial pain,Abhijit Chaudhari,MPS- Myofascial Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Wearable nanocomposite sensor system for diagnosing mechanical sources of low back pain and guiding rehabilitation,Anton Bowden,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Development and identification of magnetic resonance electrophysiological and fiber-optic imaging biomarkers of myofascial pain,Song Hu,MPS- Myofascial Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Understanding the Mechanistic Neurophysiological and Antinociceptive Effects of Transcutaneous Auricular Neurostimulation for Treatment of Chronic Pain,Denise Wilkes,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Technology Research Site for Advanced Faster Quantitative Imaging for BACPAC,Sharmila Majumdar,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Comprehensive functional phenotyping of trigeminal neurons innervating temporomandibular joint (TMJ) tissues in male female and aged mice primates and humans with and without TMJ disorders (TMJD),Armen Akopian,RE JOIN- Restoring Joint Health and Function to Reduce Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Focused Ultrasound Neuromodulation of Dorsal Root Ganglion for Noninvasive Mitigation of Low Back Pain,Lubdha  Shah,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
COMEBACK,Jeffrey Lotz,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
RM1 Project 1: Evaluating the specific role of endogenous opioids as the mechanism underlying tAN-based analgesia in healthy individuals,Bashar Badran,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
RM1 Project 2: Determining the independent and synergistic effects of transcutaneous auricular neurostimulation (tAN) on direct brain activation in healthy individuals,Bashar Badran,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Neural architecture of the murine and human temporomandibular joint,Christopher Donnelly,RE JOIN- Restoring Joint Health and Function to Reduce Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Mapping the joint-nerve interactome of the knee,Anne-Marie Malfait,RE JOIN- Restoring Joint Health and Function to Reduce Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Imaging Epigenetic Dysregulation in Patients with Low Back Pain,Hsiao-Ying Wey,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Development and Validation of a Noninvasive Multimodal Ultrasound-Based Imaging Biomarker for Myofascial Pain,Ajay Wasan,MPS- Myofascial Pain,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
Proof of Concept Study to Treat Negative Affect in Chronic Low Back Pain,Ajay Wasan,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
SMART Stepped Care Management for Low Back Pain in Military Health System,Julie Fritz,BACPAC- Back Pain Consortium Research Program,PROMIS Physical Functioning Short Form 6b,Physical Functioning,PROMIS
